OUT	TaxonomyUsearch
0	EF197081;k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Sordariales,f:Lasiosphaeriaceae,g:Podospora,s:Podospora longicaudata
1	KX621286;k:Fungi,p:Ascomycota,c:Leotiomycetes,o:Thelebolales,f:Thelebolaceae,g:Thelebolus
2	UTAX;k:Fungi,p:Ascomycota
3	SINTAX;k:Fungi
4	UTAX;k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales,f:Sporormiaceae
5	AJ271628;k:Fungi,p:Ascomycota,c:Pezizomycetes,o:Pezizales,f:Ascobolaceae,g:Ascobolus,s:Ascobolus immersus
6	KC461134;k:Fungi
7	KF128767;k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales,f:Sporormiaceae,g:Preussia
8	GU212429;k:Fungi,p:Ascomycota,c:Leotiomycetes,o:Thelebolales,f:Thelebolaceae
9	FJ553261;k:Fungi,p:Ascomycota,c:Pezizomycetes,o:Pezizales,f:Pyronemataceae
10	AF345813;k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Agaricales,f:Psathyrellaceae,g:Coprinopsis,s:Coprinopsis lagopus
11	FJ160957;k:Fungi,p:Mucoromycota,o:Mucorales,f:Pilobolaceae,g:Pilobolus,s:Pilobolus kleinii
12	GQ249277;k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Agaricales,f:Psathyrellaceae,g:Coprinopsis,s:Coprinopsis sclerotiger
13	JN159553;k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Agaricales,f:Psathyrellaceae,g:Coprinellus,s:Coprinellus heptemerus
14	UTAX;k:Fungi,p:Ascomycota,c:Pezizomycetes
15	AY461828;k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Agaricales,f:Psathyrellaceae,g:Coprinopsis,s:Coprinopsis stercorea
16	KU955584;k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Sordariales,f:Lasiosphaeriaceae,g:Arnium,s:Arnium arizonense
17	UTAX;k:Fungi,p:Ascomycota
18	FJ713091;k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Microascales,f:Microascaceae,g:Scedosporium,s:Scedosporium prolificans
19	JX076982;k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Hypocreales,g:Acremonium,s:Acremonium chrysogenum
20	UTAX;k:Fungi,p:Ascomycota
21	AF376769;k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Sordariales,f:Lasiosphaeriaceae,g:Podospora
22	SINTAX;k:Fungi,p:Ascomycota,c:Dothideomycetes
24	SINTAX;k:Fungi
25	FJ160949;k:Fungi,p:Mucoromycota,o:Mucorales,f:Pilobolaceae,g:Pilobolus,s:Pilobolus crystallinus
26	KP101211;k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales,f:Sporormiaceae,g:Sporormiella,s:Sporormiella minimoides
27	JQ775581;k:Fungi,p:Ascomycota,c:Pezizomycetes,o:Pezizales,f:Pezizaceae
28	SINTAX;k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales
29	KU141390;k:Fungi
30	KF871453;k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales,f:Sporormiaceae,g:Sporormiella,s:Sporormiella megalospora
31	FJ210539;k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Capnodiales,f:Davidiellaceae,g:Cladosporium
32	EF197084;k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Sordariales,f:Lasiosphaeriaceae,g:Podospora,s:Podospora pleiospora
33	FJ172238;k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales,f:Leptosphaeriaceae,g:Leptosphaeria
34	KT235909;k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Sordariales,f:Lasiosphaeriaceae,g:Podospora
35	UTAX;k:Fungi,p:Ascomycota,c:Pezizomycetes,o:Pezizales
36	UTAX;k:Fungi,p:Ascomycota
37	EF555495;k:Fungi,p:Mucoromycota,o:Mucorales,f:Mucoraceae,g:Pilaira,s:Pilaira anomala
38	EU437434;k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Microascales,f:Microascaceae
39	AM924166;k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales,f:Sporormiaceae,g:Sporormiella,s:Sporormiella australis
40	GQ999406;k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Agaricales,f:Agaricaceae,g:Coprinus
41	SINTAX;k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Agaricales,f:Psathyrellaceae,g:Parasola
43	AF229480;k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales,f:Pleosporaceae,g:Alternaria,s:Alternaria infectoria
44	EU770235;k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales,f:Montagnulaceae,g:Paraphaeosphaeria,s:Paraphaeosphaeria neglecta
46	AY498864;k:Fungi,p:Ascomycota,c:Saccharomycetes,o:Saccharomycetales,g:Candida,s:Candida vadensis
48	UTAX;k:Fungi,p:Ascomycota
50	DQ317369;k:Fungi,p:Ascomycota,c:Pezizomycetes,o:Pezizales,f:Pyronemataceae
51	AY681188;k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Sordariales,f:Sordariaceae,g:Sordaria,s:Sordaria fimicola
52	SINTAX;k:Fungi,p:Ascomycota,c:Pezizomycetes,o:Pezizales,f:Ascobolaceae,g:Ascobolus,s:Ascobolus furfuraceus
53	UTAX;k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales,f:Sporormiaceae
54	JN159552;k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Agaricales,f:Psathyrellaceae,g:Coprinellus,s:Coprinellus congregatus
55	SINTAX;k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Hypocreales,f:Nectriaceae,g:Fusarium,s:Fusarium redolens
56	UTAX;k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Agaricales,f:Psathyrellaceae,g:Coprinellus
58	SINTAX;k:Fungi,p:Ascomycota
59	FN376417;k:Fungi,p:Ascomycota,c:Saccharomycetes,o:Saccharomycetales,f:Dipodascaceae,g:Dipodascus,s:Dipodascus geotrichum
60	SINTAX;k:Fungi
61	No Hit
63	AY969719;k:Fungi,p:Ascomycota
64	UTAX;k:Fungi,p:Ascomycota
66	AB078501;k:Fungi,p:Basidiomycota,c:Cystobasidiomycetes,o:Cystobasidiales,f:Cystobasidiaceae,g:Cystobasidium
67	AY531684;k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales,g:Boeremia,s:Boeremia exigua
68	UTAX;k:Fungi,p:Ascomycota
69	GU055688;k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Sordariales,f:Lasiosphaeriaceae
70	SINTAX;k:Fungi,p:Neocallimastigomycota,c:Neocallimastigomycetes,o:Neocallimastigales,f:Neocallimastigaceae
71	KF060281;k:Fungi,p:Ascomycota,c:Leotiomycetes,o:Helotiales,g:Pilidium,s:Pilidium concavum
73	SINTAX;k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Sordariales
74	GU219466;k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Hypocreales,g:Sarocladium,s:Sarocladium strictum
76	FJ236000;k:Fungi,p:Basidiomycota,c:Tremellomycetes,o:Tremellales
77	AM999691;k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Agaricales,f:Psathyrellaceae
78	FJ571479;k:Fungi,p:Ascomycota,c:Sordariomycetes,f:Plectosphaerellaceae,g:Plectosphaerella
79	UTAX;k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales,f:Sporormiaceae
82	HF947051;k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales,f:Pleosporaceae
84	FN394721;k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales,f:Leptosphaeriaceae,g:Leptosphaeria
85	SINTAX;k:Fungi,p:Mucoromycota,o:Mucorales,f:Pilobolaceae,g:Pilobolus
86	SINTAX;k:Fungi,p:Ascomycota
87	UTAX;k:Fungi,p:Ascomycota,c:Dothideomycetes
88	GU132456;k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Hypocreales,f:Nectriaceae,g:Fusarium,s:Fusarium oxysporum
89	UTAX;k:Fungi,p:Basidiomycota,c:Tremellomycetes,o:Tremellales,g:Cryptococcus,s:Cryptococcus frias
90	HG799538;k:Fungi,p:Ascomycota,c:Leotiomycetes,o:Helotiales,f:Sclerotiniaceae,g:Botrytis
91	UTAX;k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Sordariales,f:Lasiosphaeriaceae
92	UTAX;k:Fungi,p:Basidiomycota,c:Tremellomycetes,o:Holtermanniales,g:Holtermanniella,s:Holtermanniella takashimae
93	KR909175;k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales,f:Lophiostomataceae,g:Lophiostoma
95	SINTAX;k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Sordariales
96	SINTAX;k:Fungi,p:Ascomycota,c:Saccharomycetes,o:Saccharomycetales,g:Wickerhamomyces,s:Wickerhamomyces rabaulensis
98	SINTAX;k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales
100	KF128821;k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales,f:Sporormiaceae,g:Preussia
101	UTAX;k:Fungi,p:Ascomycota,c:Taphrinomycetes
103	GQ203787;k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales,f:Sporormiaceae,g:Preussia,s:Preussia minipascua
104	GU054184;k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales,f:Phaeosphaeriaceae
105	KC460891;k:Fungi,p:Ascomycota,c:Eurotiomycetes,o:Onygenales,f:Onygenaceae,g:Chrysosporium,s:Chrysosporium lobatum
106	JF433007;k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Sordariales,f:Lasiosphaeriaceae
107	UTAX;k:Fungi,p:Ascomycota,c:Taphrinomycetes,o:Taphrinales,f:Protomycetaceae,g:Protomyces,s:Protomyces inouyei
108	SINTAX;k:Fungi,p:Ascomycota,c:Dothideomycetes
110	EF619702;k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Hypocreales
112	HM484859;k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Hypocreales,f:Bionectriaceae,g:Selinia,s:Selinia pulchra
113	SINTAX;k:Fungi,p:Basidiomycota,c:Tremellomycetes
116	FJ807685;k:Fungi,p:Basidiomycota,c:Cystobasidiomycetes,o:Cystobasidiales,f:Cystobasidiaceae,g:Cystobasidium,s:Cystobasidium slooffiae
117	No Hit
118	UTAX;k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Sordariales
119	UTAX;k:Fungi,p:Ascomycota,c:Leotiomycetes
120	KX776607;k:Fungi
121	JF907827;k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Agaricales,f:Bolbitiaceae,g:Conocybe,s:Conocybe rickenii
123	AM901903;k:Fungi,p:Basidiomycota,c:Tremellomycetes,o:Tremellales,g:Cryptococcus
126	UTAX;*
127	AY372073;k:Fungi,p:Ascomycota,c:Pezizomycetes,o:Pezizales,f:Ascobolaceae,g:Ascobolus,s:Ascobolus furfuraceus
128	SINTAX;k:Fungi
129	GQ922562;k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Hypocreales,f:Nectriaceae,g:Gibberella,s:Gibberella tricincta
130	KR014351;k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Hypocreales,f:Bionectriaceae
131	SINTAX;k:Fungi
132	SINTAX;k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Agaricales,f:Psathyrellaceae,g:Coprinopsis,s:Coprinopsis stercorea
133	SINTAX;k:Fungi
134	GU226831;k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Hypocreales,g:Acremonium
137	UTAX;k:Fungi,p:Ascomycota,c:Dothideomycetes
138	FJ005117;k:Fungi,p:Ascomycota,c:Leotiomycetes,o:Helotiales,f:Helotiaceae,g:Cyathicula,s:Cyathicula culmicola
139	KF381018;k:Fungi,p:Basidiomycota,c:Ustilaginomycetes,o:Ustilaginales,f:Ustilaginaceae,g:Ustilago,s:Ustilago striiformis
142	SINTAX;k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Xylariales
143	AM901802;k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales,g:Ascochyta
144	UTAX;k:Fungi,p:Basidiomycota,c:Tremellomycetes,o:Cystofilobasidiales,f:Cystofilobasidiaceae,g:Cystofilobasidium,s:Cystofilobasidium macerans
146	DQ069043;k:Fungi,p:Ascomycota,c:Eurotiomycetes,o:Eurotiales,f:Trichocomaceae,g:Penicillium,s:Penicillium chrysogenum
147	LT602890;k:Fungi,p:Basidiomycota,c:Cystobasidiomycetes
151	SINTAX;k:Fungi,p:Neocallimastigomycota,c:Neocallimastigomycetes,o:Neocallimastigales,f:Neocallimastigaceae
154	GU315929;k:Fungi,p:Ascomycota,c:Eurotiomycetes,o:Chaetothyriales,f:Chaetothyriaceae,g:Cyphellophora
155	SINTAX;k:Fungi
156	KC460885;k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales,f:Sporormiaceae,g:Sporormiella,s:Sporormiella australis
157	DQ182503;k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Agaricales,g:Panaeolus,s:Panaeolus papilionaceus
158	UTAX;k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Sordariales
163	FJ236003;k:Fungi,p:Basidiomycota,c:Cystobasidiomycetes,o:Cystobasidiales,f:Cystobasidiaceae,g:Cystobasidium
164	JF739304;k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Hypocreales,f:Nectriaceae,g:Gibberella,s:Gibberella coronicola
165	AY026939;k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Sordariales,f:Lasiosphaeriaceae,g:Podospora,s:Podospora austrohemisphaerica
166	KC460807;k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales,f:Lophiostomataceae,g:Lophiostoma,s:Lophiostoma compressum
167	SINTAX;k:Plantae
169	AY952467;k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Hypocreales,g:Stilbella,s:Stilbella fimetaria
170	SINTAX;k:Fungi,p:Neocallimastigomycota,c:Neocallimastigomycetes,o:Neocallimastigales,f:Neocallimastigaceae
171	SINTAX;k:Fungi
172	SINTAX;k:Fungi,p:Neocallimastigomycota,c:Neocallimastigomycetes,o:Neocallimastigales,f:Neocallimastigaceae,g:Orpinomyces
173	UTAX;k:Fungi,p:Ascomycota
